iter,config,wall_ms,wall_s,crit_s,total_actions,worker_count,sandbox_count
1,no-pipeline,138769,138.8,80.99,1065,0,1042
1,worker-pipe,58484,58.5,41.80,1640,1160,0
1,worker-pipe+incr,91918,91.9,79.60,1167,1165,0
1,no-pipeline-rb,27819,27.8,27.22,106,0,105
1,worker-pipe-rb,48988,49.0,46.96,174,112,15
1,worker-pipe+incr-rb,13830,13.8,11.66,64,7,0
2,no-pipeline,97680,97.7,77.24,1066,0,590
2,worker-pipe,64907,64.9,43.49,1655,1160,0
2,worker-pipe+incr,100684,100.7,83.50,1167,1165,0
2,no-pipeline-rb,40530,40.5,30.82,106,0,105
2,worker-pipe-rb,51503,51.5,28.92,174,112,15
2,worker-pipe+incr-rb,31887,31.9,31.27,174,117,2
3,no-pipeline,124667,124.7,97.54,1066,0,590
3,worker-pipe,65015,65.0,43.81,1655,1160,0
3,worker-pipe+incr,102395,102.4,83.09,1167,1165,0
3,no-pipeline-rb,31332,31.3,30.76,106,0,105
3,worker-pipe-rb,29714,29.7,29.07,174,112,15
3,worker-pipe+incr-rb,29450,29.4,28.93,174,117,0
4,no-pipeline,94392,94.4,76.41,1066,0,590
4,worker-pipe,61262,61.3,40.98,1655,1160,0
4,worker-pipe+incr,98997,99.0,79.97,1167,1165,0
4,no-pipeline-rb,31086,31.1,30.51,106,0,105
4,worker-pipe-rb,27816,27.8,27.20,174,112,15
4,worker-pipe+incr-rb,30099,30.1,29.55,174,117,0
5,no-pipeline,93910,93.9,77.49,1066,0,590
5,worker-pipe,62697,62.7,41.95,1655,1160,0
5,worker-pipe+incr,101129,101.1,80.72,1167,1165,0
5,no-pipeline-rb,28766,28.8,28.25,106,0,105
5,worker-pipe-rb,26192,26.2,25.66,174,112,15
5,worker-pipe+incr-rb,28425,28.4,27.89,174,117,0
